Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002052632,0.002052632,0.002052632,0.003842105,0.005894737,0.006947368,0.010105263,0.013263157894736838,0.016421052631578947,0.019578947368421057,0.02273684210526316,0.022789473684210526,0.014263157894736839,0.018473684210526316,0.022684210526315786,0.028947368421052642,0.035,0.1093,0.2542,0.5716,0.881,1.4988,2.1198,2.895,3.2717171717171722,3.5808080808080813,3.8541414141414148,4.314705050505051
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009000000000000001,0.009000000000000001,0.01,0.009000000000000001,0.019,0.027,0.031,0.041,0.069,0.106,0.221,0.246,0.2522761111111104,1.1865061111111077,3.179999999999991,12.43931414141414
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005301010101010101,0.010737373737373738,0.014173737373737375,0.010603030303030303,0.009185858585858585,0.25313232323232326,0.3707949494949495,0.4782528729674542,0.4088444774882213,0.4751618920299379,0.501872793360281,0.5144715734785028,0.5413412174271023,0.5326957275342495,0.5246593462241868,0.5183420696166311,0.5185126541232549,0.5743510554929366,0.6015975976585289,0.6106543183533498,0.6981324377787633,0.7489006336143736,0.8244321290788035,1.09541049862401,1.6330625636997316,2.0759603942444147,3.0130364209721123,4.738904127970131,9.037013755540604,16.039695480597896,29.216161616161617,39.426262626262634,55.42020202020203,78.05757575757576,94.3080808080808,108.35858585858587
Total North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005301010101010101,0.010737373737373738,0.014173737373737375,0.010603030303030303,0.009185858585858585,0.25313232323232326,0.3717949494949495,0.4802528729674542,0.4138971094882213,0.4812145240299379,0.5089254253602811,0.5233136784785029,0.5532359544271023,0.5456430955342495,0.5417646092241868,0.538605227511368,0.5419337067548339,0.6019300028613577,0.6323344397637921,0.6414437920375604,0.7213955956735002,0.7763743178249,0.8571163396051192,1.1333578670450626,1.6870625636997314,2.212260394244415,3.2982364209721124,5.351504127970132,9.987013755540605,17.644495480597897,31.55696161616162,42.56726262626264,58.944195303030305,82.82488994949496,101.3422222222222,125.11260505050507
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-05,2.6e-05,3.600000000000001e-05,4.3e-05,4.7e-05,6.5e-05,7e-05,8.100000000000002e-05,9e-05,0.0001089,0.0001437,7.608399999999999e-05,8.588999999999999e-05,0.0016140000000000002,0.008172966799999999,0.015074078999999995,0.015944,0.014682999999999998,0.014273,0.016416999999999998,0.10813,0.7996979130000003
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00098,0.0047935926312,0.0160818016968,0.058917411676156446,0.08526059159097375,0.8318134013171892,3.4614348342259724,5.562710640218685
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403900000000001,0.006756560000000003,0.45871298400000005,1.3601002794100001,2.5502637000000004,3.89594831461,5.118720829440002,6.300226398623749
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018350136986301372,0.00266875,0.00465125,0.006404999999999998,0.007951726027397259,0.00953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01199982099,0.12306651466000001
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238993e-05,1.4874999999999999e-05,1.8161999999999997e-05,2.6687000000000004e-05,7.8786e-06,0.0,5.812e-05,0.00032566,0.00366360668,0.01648269559,0.036057927187,0.038754817694,0.03748,0.03807932406500003,0.1664522795829998
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597,0.19690000000000002,0.1993,0.23025534299999997,0.24181878086110264,0.287200343,0.7454005400000001,0.7617257604775
