"POLITICAL_UNIT","NAME","WGMS_ID","GEN_LOCATION","SPEC_LOCATION","LATITUDE","LONGITUDE","PRIM_CLASSIFIC","FORM","FRONTAL_CHARS","EXPOS_ACC_AREA","EXPOS_ABL_AREA","PARENT_GLACIER","REMARKS","GLACIER_REGION_CODE","GLACIER_SUBREGION_CODE"
"99","BERG",1102,,,,,"5",,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"99","KARTAYGAN",1094,,,,,"5",,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"99","KLYCH",1108,,,,,,,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"99","LAZG-TSITI",1113,,,,,"5",,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"99","SATPAYEV",1076,,,,,"5",,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"99","TARAMUZ-I",1103,,,,,"5",,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"99","TEBULO",1114,,,,,,,,,,,"Former POLITICAL_UNIT SU was adjusted according to reported LAT/LON.","999","999-99"
"AF","NORTHERN ISSIK",3628,"WAKHAN PAMIR","UPPER ISSIK VALLEY",37.10000,73.23500,,,,,,,,"ASC","ASC-02"
"AF","PIR YAKH",10452,"UPPER CABUL RIVER BASIN","CHUMAR VALLEY",35.59500,70.17000,"6","3","8","NE","NE",,"Local people call this glacier PIR YAKH which means ""Old Ice"".","ASW","ASW-01"
"AF","UNNAMED 13308",13308,,,37.28307,73.60173,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13310",13310,,,37.25005,73.61128,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13311",13311,,,37.21651,73.51735,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13312",13312,,,37.19965,73.49909,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13582",13582,,,37.04305,73.07324,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13583",13583,,,37.07550,73.09385,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13584",13584,,,37.09954,73.10701,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13585",13585,,,37.13240,73.07664,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13586",13586,,,37.13787,73.19019,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13587",13587,,,37.16568,73.18088,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13588",13588,,,37.17774,73.30481,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13589",13589,,,37.15159,73.37437,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13590",13590,,,37.18804,73.40189,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13591",13591,,,37.21381,73.44273,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13592",13592,,,37.22836,73.46550,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13593",13593,,,37.28057,73.43221,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13594",13594,,,37.27140,73.44991,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13595",13595,,,37.27000,73.48197,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13596",13596,,,37.22407,73.49560,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13597",13597,,,37.12698,73.38259,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13598",13598,,,37.10714,73.30897,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13599",13599,,,37.12369,73.27797,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13614",13614,,,37.02498,72.90337,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13615",13615,,,37.02825,73.07580,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13616",13616,,,37.06816,73.25090,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13617",13617,,,37.08015,73.22487,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13618",13618,,,37.09484,73.12261,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13619",13619,,,37.05286,73.23744,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13620",13620,,,37.05817,73.20377,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13621",13621,,,37.09140,73.37753,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13622",13622,,,37.18620,73.27119,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13623",13623,,,37.15882,73.29298,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13624",13624,,,37.13828,73.30933,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13625",13625,,,37.16509,73.22469,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13626",13626,,,37.10925,73.22192,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
