"POLITICAL_UNIT","NAME","WGMS_ID","YEAR","LOWER_BOUND","UPPER_BOUND","AREA","WINTER_BALANCE","WINTER_BALANCE_UNC","SUMMER_BALANCE","SUMMER_BALANCE_UNC","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","REMARKS"
"AQ","ALBERICH",1062,1972,9999,9999,1.3600000,0,,10,,20,,
"AQ","ALBERICH",1062,1973,9999,9999,1.3600000,0,,30,,30,,
"AQ","ALBERICH",1062,1974,9999,9999,1.3600000,-10,,0,,-20,,
"AQ","ALBERICH",1062,1975,9999,9999,1.3600000,10,,0,,10,,
"AQ","ANVERS I ICE CAP",3954,1966,9999,9999,,,,,,44,,"Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years."
"AQ","ANVERS I ICE CAP",3954,1967,9999,9999,,,,,,44,,"Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years."
"AQ","BAHIA DEL DIABLO",2665,2000,38,112,,,,,,-2300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,112,188,,,,,,-1650,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,188,262,,,,,,-1250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,262,338,,,,,,-680,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,338,412,,,,,,-250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,412,488,,,,,,80,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,488,562,,,,,,280,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,562,638,,,,,,50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2000,9999,9999,12.9000000,,,,,-570,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -560 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2001,38,112,,,,,,-1000,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,112,188,,,,,,-600,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,188,262,,,,,,-250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,262,338,,,,,,-260,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,338,412,,,,,,0,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,412,488,,,,,,330,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,488,562,,,,,,320,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,562,638,,,,,,220,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2001,9999,9999,12.9000000,,,,,-60,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -60 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2002,38,112,,,,,,-2800,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,112,188,,,,,,-1550,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,188,262,,,,,,-750,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,262,338,,,,,,-750,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,338,412,,,,,,-300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,412,488,,,,,,50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,488,562,,,,,,130,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,562,638,,,,,,-50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2002,9999,9999,12.9000000,,,,,-560,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -510 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2003,38,112,,,,,,-1300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,112,188,,,,,,-750,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,188,262,,,,,,-225,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,262,338,,,,,,-300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,338,412,,,,,,-50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,412,488,,,,,,140,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,488,562,,,,,,250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2003,562,638,,,,,,75,,"Balance based on old area."
