,Avg Temp,Year,Thousand Oil Barrels Daily
0,8.647666666666668,1965,11522
1,8.483,1966,12100
2,8.902000000000001,1967,12566
3,8.553249999999998,1968,13404
4,8.770833333333332,1969,14152
5,8.673,1970,14709
6,8.442499999999999,1971,15222
7,8.428083333333335,1972,16380
8,8.934666666666667,1973,17317
9,8.815916666666666,1974,16630
10,8.431,1975,16333
11,8.65125,1976,17460
12,9.269833333333334,1977,18443
13,8.751416666666666,1978,18755
14,8.571583333333331,1979,18438
15,9.135499999999999,1980,17062
16,9.7215,1981,16059
17,8.539500000000002,1982,15294
18,8.912333333333333,1983,15234
19,8.811166666666667,1984,15725
20,8.587000000000002,1985,15726
21,9.559500000000002,1986,16280
22,9.628166666666665,1987,16664
23,9.275333333333334,1988,17283
24,8.873083333333334,1989,17325
25,9.521583333333334,1990,16939
26,9.493666666666666,1991,16658
27,9.056333333333333,1992,16968
28,8.867250000000002,1993,17161
29,9.270333333333335,1994,17634
30,9.331000000000001,1995,17634
31,8.754333333333333,1996,18244
32,9.172916666666667,1997,18538
33,10.141166666666667,1998,18826
34,9.567,1999,19424
35,9.649750000000001,2000,19593
36,9.785583333333333,2001,19534
37,9.816166666666666,2002,19624
38,9.75508333333333,2003,19847
39,9.667499999999999,2004,20498
40,9.892666666666669,2005,20531
41,9.9745,2006,20312
42,9.837499999999999,2007,20208
43,8.951416666666669,2008,18840
44,9.137083333333335,2009,18030
45,9.505583333333334,2010,18324
46,9.549916666666665,2011,17983
47,10.261083333333334,2012,17593
48,11.297111111111112,2013,18005
